category,Count
SLP (Crl),8870
Cr. Appeal,1798
TP (Crl),780
WP (Crl),601
Review Pet (Crl),313
Cur Pet (Crl),85
TC (Crl),12
Contempt (Crl),3
Suo Moto Cont (Crl ),1
