category,Count
SLP (C),15476
Civil Appeal,6662
TP (C),2801
Misc. Appln,1726
Review Pet (C),1568
WP (C),856
Contempt (C ),342
Cur Pet (C ),141
Arb Pet,136
TC (C ),118
Other (C ),6
Suo Moto Cont (C ),3
Suo Moto WP (C ),2
OS,2
