category,Count
SLP (C),8351
Contempt (C ),1121
Misc. Appln,731
WP (C),658
Review Pet (C),488
Civil Appeal,433
TP (C),269
Cur Pet (C ),43
Arb Pet,21
TC (C ),13
Other (C ),8
OS,5
Elect Pet,1
Suo Moto Cont (C ),1
