category,Count
SLP (Crl),7743
Cr. Appeal,1498
Review Pet (Crl),610
TP (Crl),338
WP (Crl),293
Cur Pet (Crl),41
TC (Crl),3
Suo Moto Cont (Crl ),3
Contempt (Crl),2
Other (Crl),2
Civil Appeal,1
TP (C),1
Suo Moto WP (Crl ),1
