category,Count
SLP (Crl),11522
Cr. Appeal,2859
TP (Crl),900
WP (Crl),616
Review Pet (Crl),381
Cur Pet (Crl),58
Suo Moto WP (Crl ),3
TC (Crl),1
Contempt (Crl),1
Suo Moto Cont (Crl ),1
Other (Crl),1
