category,Count
SLP (C),13856
Civil Appeal,6051
TP (C),3869
Misc. Appln,1974
WP (C),1651
Review Pet (C),1127
Contempt (C ),470
Cur Pet (C ),187
Arb Pet,92
TC (C ),44
Other (C ),6
Suo Moto Cont (C ),3
Suo Moto WP (C ),2
