"Years","Count"
"0 to 1 Years","20420"
"1 to 3 Years","6136"
"10 to 20 Years","1349"
"20 to 30 Years","4"
"3 to 5 Years","2124"
"5 to 10 Years","2698"
"Above 30 Years","1"
