category,Count
SLP (C),8654
Civil Appeal,3516
Misc. Appln,1646
WP (C),1086
Review Pet (C),885
TP (C),630
Contempt (C ),398
Arb Pet,34
TC (C ),33
Suo Moto WP (C ),4
Suo Moto Cont (C ),4
Suo Moto TP (C ),2
Other (C ),1
