category,Count
SLP (C),1348
Misc. Appln,274
Review Pet (C),268
WP (C),261
Civil Appeal,112
Contempt (C ),46
TP (C),44
Cur Pet (C ),7
Arb Pet,5
Suo Moto Cont (C ),1
