category,Count
SLP (Crl),7882
Cr. Appeal,1643
Review Pet (Crl),541
TP (Crl),440
WP (Crl),269
Cur Pet (Crl),71
Contempt (Crl),4
TC (Crl),2
Suo Moto Cont (Crl ),2
WP (C),1
Suo Moto WP (Crl ),1
Other (Crl),1
