category,Count
SLP (C),6101
Civil Appeal,2973
TP (C),1214
Misc. Appln,1212
Review Pet (C),1167
WP (C),1022
Contempt (C ),251
Cur Pet (C ),129
TC (C ),99
Arb Pet,25
Other (C ),12
Suo Moto Cont (C ),1
Suo Moto TP (C ),1
