category,Count
SLP (C),14875
Civil Appeal,6439
TP (C),2040
Misc. Appln,1948
Review Pet (C),1831
WP (C),1358
Contempt (C ),820
Cur Pet (C ),367
TC (C ),57
Other (C ),18
Arb Pet,17
OS,2
Suo Moto Cont (C ),2
Suo Moto TP (C ),1
Cr. Appeal,1
