category,Count
SLP (C),11736
Civil Appeal,5253
TP (C),4024
Misc. Appln,1556
WP (C),1127
Review Pet (C),1105
Contempt (C ),499
Cur Pet (C ),327
Arb Pet,51
TC (C ),24
Other (C ),5
Suo Moto Cont (C ),4
OS,2
