"Years","Count"
"0 to 1 Years","17"
"1 to 3 Years","22075"
"10 to 20 Years","940"
"20 to 30 Years","14"
"3 to 5 Years","4239"
"5 to 10 Years","2726"
"Above 30 Years","2"
