category,Count
SLP (C),2687
Misc. Appln,685
Civil Appeal,283
Review Pet (C),258
WP (C),236
Contempt (C ),155
TP (C),116
Cur Pet (C ),30
Arb Pet,4
Other (C ),3
Suo Moto WP (C ),1
OS,1
