"Years","Count"
"0 to 1 Years","2"
"1 to 3 Years","14"
"10 to 20 Years","1099"
"20 to 30 Years","3"
"3 to 5 Years","12313"
"5 to 10 Years","2492"
"Above 30 Years","2"
