category,Count
SLP (C),15535
Civil Appeal,6320
Review Pet (C),2166
Misc. Appln,2091
TP (C),1378
WP (C),1323
Contempt (C ),596
TC (C ),288
Cur Pet (C ),104
Arb Pet,58
Other (C ),45
OS,4
Suo Moto Cont (C ),4
Suo Moto WP (C ),1
Suo Moto TP (C ),1
SLP (Crl),1
Cr. Appeal,1
