category,Count
SLP (Crl),7016
Cr. Appeal,6370
WP (Crl),687
TP (Crl),513
Review Pet (Crl),83
Contempt (Crl),17
Cur Pet (Crl),16
Suo Moto WP (Crl ),10
TC (Crl),8
Other (Crl),8
Suo Moto Cont (Crl ),5
Other (C ),1
