category,Count
SLP (C),8512
Misc. Appln,1380
Review Pet (C),1009
Civil Appeal,767
TP (C),344
Contempt (C ),297
WP (C),196
Cur Pet (C ),144
Arb Pet,10
Other (C ),4
TC (C ),1
